3.75,9.51,7.32,5.99,0.00
1.56,1.56,0.58,8.66,1.00
6.01,7.08,0.21,9.70,0.00
8.32,2.12,1.82,1.83,0.00
3.04,5.25,4.32,2.91,1.00
6.12,1.39,2.92,3.66,0.00
4.56,7.85,2.00,5.14,1.00
5.92,0.46,6.08,1.71,0.00
0.65,9.49,9.66,8.08,2.00
3.05,0.98,6.84,4.40,2.00
1.22,4.95,0.34,9.09,0.00
2.59,6.63,3.12,5.20,0.00
5.47,1.85,9.70,7.75,0.00
9.39,8.95,5.98,9.22,2.00
0.88,1.96,0.45,3.25,0.00
3.89,2.71,8.29,3.57,2.00
2.81,5.43,1.41,8.02,1.00
0.75,9.87,7.72,1.99,2.00
0.06,8.15,7.07,7.29,2.00
7.71,0.74,3.58,1.16,1.00
8.63,6.23,3.31,0.64,2.00
3.11,3.25,7.30,6.38,0.00
8.87,4.72,1.20,7.13,0.00
7.61,5.61,7.71,4.94,2.00
5.23,4.28,0.25,1.08,0.00
0.31,6.36,3.14,5.09,2.00
9.08,2.49,4.10,7.56,0.00
2.29,0.77,2.90,1.61,0.00
9.30,8.08,6.33,8.71,2.00
8.04,1.87,8.93,5.39,0.00
8.07,8.96,3.18,1.10,2.00
2.28,4.27,8.18,8.61,0.00
0.07,5.11,4.17,2.22,0.00
1.20,3.38,9.43,3.23,1.00
5.19,7.03,3.64,9.72,1.00
9.62,2.52,4.97,3.01,2.00
2.85,0.37,6.10,5.03,1.00
0.51,2.79,9.08,2.40,2.00
1.45,4.89,9.86,2.42,1.00
6.72,7.62,2.38,7.28,0.00
3.68,6.32,6.34,5.36,2.00
0.90,8.35,3.21,1.87,2.00
0.41,5.91,6.78,0.17,0.00
5.12,2.26,6.45,1.74,2.00
6.91,3.87,9.37,1.38,2.00
3.41,1.13,9.25,8.77,1.00
2.58,6.60,8.17,5.55,2.00
5.30,2.42,0.93,8.97,0.00
9.00,6.33,3.39,3.49,1.00
7.26,8.97,8.87,7.80,1.00
6.42,0.84,1.62,8.99,0.00
6.06,0.09,1.01,6.64,0.00
0.05,1.61,5.49,6.92,1.00
6.52,2.24,7.12,2.37,2.00
3.25,7.46,6.50,8.49,1.00
6.58,5.68,0.94,3.68,0.00
2.65,2.44,9.73,3.93,1.00
8.92,6.31,7.95,5.03,0.00
5.77,4.93,1.95,7.22,1.00
2.81,0.24,6.45,1.77,2.00
9.40,9.54,9.15,3.70,1.00
0.15,9.28,4.28,9.67,1.00
9.64,8.53,2.94,3.85,0.00
8.51,3.17,1.69,5.57,0.00
9.36,6.96,5.70,0.97,0.00
6.15,9.90,1.40,5.18,1.00
8.77,7.41,6.97,7.02,2.00
3.59,2.94,8.09,8.10,0.00
8.67,9.13,5.11,5.02,0.00
7.98,6.50,7.02,7.96,1.00
8.90,3.38,3.76,0.94,0.00
5.78,0.36,4.66,5.43,2.00
2.87,5.91,0.31,0.37,2.00
8.23,3.60,1.27,5.22,0.00
7.70,2.16,6.23,0.85,0.00
0.52,5.31,5.41,6.37,1.00
7.26,9.76,5.16,3.23,2.00
7.95,2.71,4.39,0.78,2.00
0.25,9.63,8.36,6.96,0.00
4.09,1.73,1.56,2.50,1.00
5.49,7.15,6.60,2.80,2.00
9.55,7.38,5.54,6.12,2.00
4.20,2.48,3.56,7.58,1.00
0.14,1.16,0.46,0.41,1.00
8.55,7.04,4.74,0.98,2.00
4.92,4.73,1.73,4.34,2.00
3.99,6.16,6.35,0.45,1.00
3.75,6.26,5.03,8.56,2.00
6.59,1.63,0.71,6.42,0.00
0.27,5.86,9.40,5.75,0.00
3.88,6.43,4.58,5.46,1.00
9.41,3.86,9.61,9.05,1.00
1.96,0.69,1.01,0.18,1.00
0.94,6.83,0.71,3.19,0.00
8.45,0.23,8.14,2.82,2.00
1.18,6.97,6.29,8.77,0.00
7.35,8.03,2.82,1.77,2.00
7.51,8.07,9.91,4.13,0.00
3.72,7.76,3.41,9.31,2.00
8.58,4.29,7.51,7.55,0.00
